date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2022-04-03,120129.86346622798,2057.5059260641756,1360.5841070444244,542,289,83,96,99,92,41,56,20,8
2022-04-04,120676.34084080328,1907.061481619731,3597.3698213301386,746,856,467,335,333,312,143,193,138,51
2022-04-05,120079.1039296643,3000.1329101911597,3577.703154663472,755,345,544,617,357,314,149,224,172,59
2022-04-06,119645.53368519199,3144.1329101911597,3707.703154663472,856,446,446,318,423,373,227,270,219,85
2022-04-07,119453.96344071967,3516.1329101911597,3083.8142657745834,842,452,333,283,363,269,149,172,139,33
2022-04-08,119264.33764069181,2894.1884657467153,3039.739265774583,830,535,287,282,367,275,128,166,96,39
2022-04-09,119494.67017399728,3270.0717990800485,1232.90593244125,664,168,83,79,82,55,37,38,10,3
2022-04-10,120271.00270730274,2009.238465746715,1499.90593244125,567,336,156,100,168,94,46,69,44,15
2022-04-11,120664.50190727487,1893.4051324133818,3416.6202181555354,663,757,537,269,286,282,138,178,124,40
2022-04-12,120176.21539296128,2928.333703841953,3267.44828961907,733,351,497,304,370,304,161,199,168,70
2022-04-13,120076.84028344457,3168.0731801023544,3237.7514475138064,837,376,394,350,363,247,163,244,148,61
2022-04-14,119662.22692831382,2823.1380923830566,3315.2514475138064,778,501,333,413,386,284,142,198,159,70
2022-04-15,119370.36357318307,3023.3880923830566,2416.783026461175,771,361,225,246,244,165,93,149,107,22
2022-04-16,119837.82513033302,2884.2445836111265,1383.2830264611748,635,222,126,102,91,74,34,34,30,8
2022-04-17,120544.78668748298,2090.2445836111265,1200.7830264611748,501,234,90,102,83,60,33,34,28,11
2022-04-18,121001.24824463292,1657.2445836111265,3375.3907152691822,619,792,572,273,287,289,151,204,135,42
2022-04-19,120485.42572534976,2859.5681959860126,3344.4621438406107,701,350,533,339,382,330,191,216,166,68
2022-04-20,120366.53177749515,3225.5681959860126,3466.4762307136607,858,389,494,343,431,295,175,216,178,81
2022-04-21,119792.27519465136,2892.219647869862,3325.5317862692164,804,503,318,350,436,348,148,226,151,52
2022-04-22,119711.57416736311,3244.8307589809733,2680.0317862692164,839,412,226,238,259,246,101,140,84,26
2022-04-23,120267.87314007488,3236.3307589809733,1356.7317862692164,675,187,123,83,92,59,30,38,24,7
2022-04-24,120891.47211278664,1980.3307589809733,1624.7317862692164,590,361,125,112,120,85,55,79,43,10
2022-04-25,121299.73775216505,2032.9974256476398,4001.4286806791542,770,744,572,309,362,399,231,292,198,83
2022-04-26,120441.17730458695,3142.868233101056,2974.107252107726,695,352,492,307,340,261,122,161,119,54
2022-04-27,120408.93828558028,2941.868233101056,3380.107252107726,807,419,408,306,379,328,181,211,193,90
2022-04-28,120207.53259990695,3178.7015664343894,3331.107252107726,816,441,356,346,413,316,160,236,197,67
2022-04-29,119845.79358090028,2969.368233101056,3180.1961409966148,925,459,305,306,319,284,142,148,136,50
2022-04-30,120087.05456189362,3421.457121989945,1192.3499871504607,623,160,92,95,72,40,25,23,18,2
2022-05-01,120840.31554288694,1945.610968143791,1488.9676342092844,572,302,101,102,132,92,51,67,40,4
2022-05-02,121221.35103368419,1870.0031250065363,3747.9676342092844,736,910,498,351,337,289,143,225,162,54
2022-05-03,120337.38652448145,2864.0031250065363,3006.4676342092844,713,299,477,308,353,345,155,170,141,37
2022-05-04,120310.25534861203,2979.3364583398693,3590.5176342092846,804,453,449,379,438,343,179,218,183,83
2022-05-05,119843.29083940928,3123.553125006536,3277.8176342092843,825,500,307,339,379,316,140,195,161,71
2022-05-06,119865.92633020654,3300.453125006536,2789.8176342092843,899,478,253,254,281,216,101,140,100,32
2022-05-07,119899.06182100378,2822.953125006536,1363.8176342092843,572,226,106,123,118,69,32,38,21,9
2022-05-08,120751.53064513436,2216.2864583398696,1510.1926342092843,600,267,100,100,117,119,54,70,40,13
2022-05-09,121067.12446926495,1825.7864583398696,3502.0259675426178,664,769,583,318,315,276,168,192,104,38
2022-05-10,120315.8849600622,2750.7864583398696,3272.432489281748,704,348,491,334,410,347,171,222,152,70
2022-05-11,120223.32805955512,3179.875588774652,3118.432489281748,794,337,367,288,351,281,178,192,162,54
2022-05-12,119982.77115904802,2877.875588774652,3099.932489281748,753,476,286,271,415,301,136,181,159,70
2022-05-13,119707.21425854092,2824.375588774652,2851.7853847009355,778,483,264,280,336,244,113,141,119,43
2022-05-14,120052.67533556191,3197.2464617219293,1284.2853847009358,592,195,116,71,106,70,30,43,12,9
2022-05-15,120931.13641258291,2162.7464617219293,1414.9520513676023,562,289,99,102,98,79,44,67,24,16
2022-05-16,121563.5974896039,2047.4131283885963,3407.3270513676025,712,858,499,287,308,276,162,173,111,43
2022-05-17,121118.9335666249,2962.6631283885963,3256.6448808249665,764,418,481,330,321,309,145,180,127,38
2022-05-18,120893.0603413203,3030.771655520379,3227.4274423295096,808,412,423,350,377,333,157,194,134,47
2022-05-19,120388.36794911452,2722.735050123712,3373.7341443363252,696,491,308,366,404,333,226,229,161,63
2022-05-20,120064.24017889533,3049.606374117149,2725.7341443363252,811,386,283,244,300,244,109,140,111,36
2022-05-21,120446.86240867616,3108.356374117149,1312.7341443363252,655,201,98,70,94,67,30,37,29,5
2022-05-22,121125.98463845698,1991.8563741171488,1538.2341443363252,593,321,129,106,118,82,59,48,29,10
2022-05-23,121581.60686823781,1993.8563741171488,3637.806226716188,725,763,548,295,351,299,168,224,161,67
2022-05-24,120811.74053966622,2867.939898144609,3115.806226716188,691,379,505,331,359,290,189,155,131,51
2022-05-25,120539.87421109465,2843.939898144609,3087.4238737750115,742,409,383,330,396,261,152,160,120,47
2022-05-26,120268.56670605247,2816.116368732844,3182.9238737750115,800,415,305,337,437,325,160,174,121,64
2022-05-27,119965.25920101031,2879.616368732844,2902.9238737750115,828,443,284,311,312,224,133,154,122,43
2022-05-28,120132.45169596814,3070.116368732844,1191.9238737750115,604,155,93,86,96,47,29,27,12,6
2022-05-29,121045.14419092597,2104.616368732844,1377.4238737750115,626,307,91,85,93,58,31,37,11,4
2022-05-30,121580.33668588381,1912.616368732844,1455.2572071083448,504,281,162,100,112,102,44,69,33,11
2022-05-31,122153.02918084164,2027.9497020661772,4218.180284031421,711,640,738,360,370,350,172,297,317,147
2022-06-01,121426.72167579948,3491.872778989254,3480.076117364755,827,394,517,335,397,270,189,245,168,70
2022-06-02,121023.1641707573,3076.5186123225876,3471.2427840314217,833,463,419,349,400,335,182,219,139,67
2022-06-03,120600.60666571514,3048.685278989254,3010.2427840314217,822,456,280,332,352,292,120,162,122,43
2022-06-04,120755.04916067296,3164.685278989254,1238.076117364755,579,199,95,83,92,62,29,39,18,4
2022-06-05,121507.4916556308,1990.5186123225876,1479.576117364755,563,281,126,122,141,91,42,59,31,15
2022-06-06,121868.43415058864,1840.5186123225876,3530.076117364755,669,757,531,311,319,332,153,175,125,68
2022-06-07,121116.37664554646,2778.0186123225876,3313.137520873527,721,346,547,306,384,336,181,229,139,75
2022-06-08,120921.76650892536,3118.527384252412,3274.47085420686,853,405,414,319,377,305,166,244,157,54
2022-06-09,120648.48970563758,3001.1940509190786,3120.97085420686,771,447,296,325,384,292,150,212,120,49
2022-06-10,120371.21290234978,2843.6940509190786,2737.97085420686,793,472,271,254,291,239,109,135,89,28
2022-06-11,120878.436099062,3245.1940509190786,1294.2698738147035,648,161,100,86,105,56,42,24,22,4
2022-06-12,121566.76713891148,1982.6009136641767,1554.2698738147035,530,346,119,120,124,105,56,58,40,14
2022-06-13,121984.09817876095,1971.6009136641767,3399.8948738147033,674,823,508,264,309,317,144,165,104,34
2022-06-14,121302.55421861043,2718.350913664177,3231.8948738147033,701,382,509,296,340,330,173,241,137,73
2022-06-15,120957.01025845991,2886.350913664177,3218.1448738147033,733,407,371,318,356,283,180,250,169,77
2022-06-16,120551.13296497604,2812.2675803308434,3186.1448738147033,756,444,318,358,356,306,163,231,155,59
2022-06-17,120447.75567149218,3082.7675803308434,2578.5823738147033,830,405,248,241,254,213,90,137,70,18
2022-06-18,120608.12837800832,2738.9550803308434,1327.74904048137,608,212,108,89,108,63,29,49,11,10
2022-06-19,121402.8344178578,2122.4550803308434,1165.5823738147035,532,228,87,67,95,48,28,25,19,7
2022-06-20,121856.20712437393,1618.9550803308434,2328.0823738147033,503,580,319,180,200,170,95,114,69,29
2022-06-21,121897.57983089007,2369.4550803308434,3269.465973323303,698,427,560,335,376,309,155,169,121,69
2022-06-22,121350.07508040375,2721.961222836986,3069.0247968527146,733,366,395,328,361,303,168,201,133,63
2022-06-23,121173.40366325078,2892.3533796997312,3044.9507227786407,759,398,325,345,341,310,152,202,134,58
2022-06-24,121078.26928313482,2949.816342662694,2997.7840561119738,843,456,266,309,325,278,131,157,121,42
2022-06-25,121078.13490301889,2997.6496759960273,1217.2285005564183,558,173,103,84,87,68,35,45,19,8
2022-06-26,121911.22274512515,2050.316342662694,1221.7285005564183,511,249,87,83,85,54,32,37,20,4
2022-06-27,122331.31058723143,1641.816342662694,3525.2285005564186,603,822,538,299,313,313,187,196,150,80
2022-06-28,121632.39842933771,2826.316342662694,3146.6618338897515,708,336,457,277,392,304,169,210,125,53
2022-06-29,121420.53627144398,2934.7996759960274,3004.161833889752,750,354,342,262,368,308,159,211,135,58
2022-06-30,121289.17411355025,2872.7996759960274,3174.8285005564185,740,446,291,315,418,301,188,216,169,63
2022-07-01,121141.81195565654,3027.466342662694,3236.6618338897515,860,490,317,289,381,266,139,203,167,59
2022-07-02,120878.4497977628,2973.2996759960274,1409.1618338897517,618,228,110,100,121,82,34,47,22,6
2022-07-03,121742.58763986909,2273.2996759960274,1324.6618338897517,658,253,78,64,83,57,35,36,16,4
2022-07-04,122186.72548197536,1768.7996759960274,1108.6618338897517,415,251,107,59,76,60,29,43,20,7
2022-07-05,122827.36332408164,1749.2996759960274,3605.6618338897515,719,668,687,308,325,311,144,203,93,66
2022-07-06,122040.00116618791,2818.2996759960274,3468.995167223085,784,373,590,363,406,336,199,223,139,69
2022-07-07,121698.85329400847,3127.847295043646,3116.995167223085,808,351,388,317,371,318,184,170,98,43
2022-07-08,121466.70542182903,2884.847295043646,3129.6618338897515,762,467,258,261,374,349,157,207,96,147
2022-07-09,121513.22421631626,3176.1806283769797,1258.60301036034,528,191,90,81,118,82,38,49,18,5
2022-07-10,122271.24301080349,2016.621804847568,1202.60301036034,497,233,85,99,76,66,37,39,9,6
2022-07-11,122742.26180529072,1673.621804847568,3154.9363436936733,645,779,409,277,304,257,136,200,78,43
2022-07-12,122267.11393311128,2679.7884715142345,2973.9363436936733,687,318,484,254,335,312,154,187,110,40
2022-07-13,122128.96606093184,2835.7884715142345,3054.4277966851264,757,389,421,271,364,290,158,233,117,58
2022-07-14,121848.86886030308,2774.3305960563594,3113.1803219376516,766,422,296,301,367,292,155,246,132,56
2022-07-15,121486.85246775512,2751.1639293896924,2700.596988604318,775,416,250,266,303,228,124,155,80,43
2022-07-16,121779.00274187382,2992.747262723026,1216.9303219376516,620,160,83,60,84,67,30,44,14,2
2022-07-17,122678.3196826592,2116.247262723026,1400.9303219376516,609,257,91,109,90,86,36,54,17,9
2022-07-18,123098.13662344457,1820.7472627230259,3282.996988604318,711,775,455,248,268,304,163,179,93,46
2022-07-19,122375.07023089661,2559.9305960563593,2969.246988604318,634,336,456,339,327,339,156,208,83,35
2022-07-20,122278.50383834865,2872.6805960563593,2996.845889703219,737,317,414,298,338,292,185,191,137,56
2022-07-21,122042.20667656993,2760.5487279244912,3155.012556369886,734,474,310,338,378,304,162,229,101,41
2022-07-22,121652.57618145786,2765.3820612578243,2717.345889703219,778,459,254,228,315,221,132,152,91,38
2022-07-23,121851.27901967913,2916.0487279244912,1238.3458897032192,586,162,89,89,93,70,31,39,19,11
